date,AQI_index,AQI_rank,PM2.5,PM10,SO2,NO2,CO,O3
"
                                        2014-10-13","29
                                       ",2,11,26,4,30,0.31,37
"
                                        2014-10-14","72
                                       ",58,43,90,7,61,0.69,28
"
                                        2014-10-15","81
                                       ",32,43,99,4,43,0.59,34
"
                                        2014-10-16","73
                                       ",60,33,93,7,54,0.63,28
"
                                        2014-10-17","127
                                       ",142,93,176,11,104,1.21,23
"
                                        2014-10-18","194
                                       ",170,152,229,17,113,2.00,46
"
                                        2014-10-19","289
                                       ",188,238,307,12,118,2.39,31
"
                                        2014-10-20","254
                                       ",186,203,226,4,75,1.55,20
"
                                        2014-10-21","67
                                       ",55,33,81,19,56,1.21,18
"
                                        2014-10-22","100
                                       ",119,71,135,10,75,1.26,4
"
                                        2014-10-23","154
                                       ",162,116,175,12,87,1.56,6
"
                                        2014-10-24","263
                                       ",183,212,260,10,87,2.06,26
"
                                        2014-10-25","341
                                       ",187,291,327,6,88,2.45,24
"
                                        2014-10-26","85
                                       ",65,58,61,2,39,0.67,40
